Documento;Placa;Marca;Modelo;Año
1001;ABC-123;Toyota;Corolla;2018
1002;BCD-234;Mazda;CX5;2020
1003;CDE-345;Renault;Logan;2017
1004;DEF-456;Chevrolet;Spark;2019
1005;EFG-567;Hyundai;Tucson;2021
1006;FGH-678;Kia;Rio;2018
1007;GHI-789;Ford;Fiesta;2015
1008;HIJ-890;Nissan;Versa;2022
1009;IJK-901;Suzuki;Swift;2020
1010;JKL-012;Honda;Civic;2016
1011;KLM-123;Toyota;Hilux;2021
1012;LMN-234;Mazda;3;2019
1013;MNO-345;Renault;Duster;2022
1014;NOP-456;Chevrolet;Onix;2018
1015;OPQ-567;Hyundai;Elantra;2020
1016;PQR-678;Kia;Picanto;2023
1017;QRS-789;Ford;Escape;2019
1018;RST-890;Nissan;March;2021
1019;STU-901;Suzuki;Vitara;2022
1020;TUV-012;Honda;HRV;2020
