Placa;Tipo;Precio;Fecha;Descripción
ABC-123;Cambio de aceite;150000;10/03/2024;Cambio de aceite sintético
BCD-234;Alineación;90000;22/02/2023;Alineación y balanceo completo
CDE-345;Lavado;40000;12/05/2024;Lavado completo exterior e interior
DEF-456;Cambio de frenos;220000;01/04/2024;Cambio de pastillas delanteras
EFG-567;Revisión general;180000;15/01/2023;Chequeo de motor y suspensión
FGH-678;Pintura;350000;19/11/2024;Pintura lateral derecha
GHI-789;Cambio de aceite;140000;05/06/2024;Aceite semisintético
HIJ-890;Revisión eléctrica;200000;11/09/2023;Revisión de batería y alternador
IJK-901;Cambio de llantas;480000;02/02/2024;Reemplazo de llantas delanteras
JKL-012;Revisión de frenos;130000;09/08/2023;Cambio de líquido de frenos
KLM-123;Lavado;45000;03/10/2023;Lavado y encerado completo
LMN-234;Cambio de aceite;155000;07/07/2024;Cambio de filtro y aceite
MNO-345;Cambio de batería;320000;14/04/2024;Batería nueva de 12V
NOP-456;Cambio de luces;70000;25/03/2024;Cambio de luces delanteras
OPQ-567;Revisión general;190000;18/09/2023;Chequeo completo del motor
PQR-678;Lavado;35000;12/05/2024;Lavado express
QRS-789;Alineación;95000;29/06/2023;Alineación completa
RST-890;Cambio de aceite;145000;22/12/2024;Cambio de aceite mineral
STU-901;Revisión de frenos;120000;04/11/2024;Revisión del sistema de frenos
TUV-012;Cambio de aceite;150000;09/10/2023;Cambio de aceite sintético
